fdc_id,description,protein,calories,sugar,sodium,portion_description,gram_weight
2706042,"Chicken thigh, grilled with sauce, skin not eaten",19.8,191,5.94,575,"1 cup, cooked, diced",165
2706042,"Chicken thigh, grilled with sauce, skin not eaten",19.8,191,5.94,575,Quantity not specified,100
2706042,"Chicken thigh, grilled with sauce, skin not eaten",19.8,191,5.94,575,"1 oz, cooked",28.35
2706042,"Chicken thigh, grilled with sauce, skin not eaten",19.8,191,5.94,575,1 medium thigh,100
2706042,"Chicken thigh, grilled with sauce, skin not eaten",19.8,191,5.94,575,1 large thigh,130
2706042,"Chicken thigh, grilled with sauce, skin not eaten",19.8,191,5.94,575,"1 thigh, NS as to size",100
2706042,"Chicken thigh, grilled with sauce, skin not eaten",19.8,191,5.94,575,1 small thigh,90
2706043,"Chicken thigh, sauteed, skin eaten",22.61,243,0,406,1 large thigh,105
2706043,"Chicken thigh, sauteed, skin eaten",22.61,243,0,406,"1 oz, cooked",28.35
2706043,"Chicken thigh, sauteed, skin eaten",22.61,243,0,406,"1 thigh, NS as to size",80
2706043,"Chicken thigh, sauteed, skin eaten",22.61,243,0,406,Quantity not specified,80
2706043,"Chicken thigh, sauteed, skin eaten",22.61,243,0,406,1 small thigh,75
2706043,"Chicken thigh, sauteed, skin eaten",22.61,243,0,406,"1 cup, cooked, diced",135
2706043,"Chicken thigh, sauteed, skin eaten",22.61,243,0,406,1 medium thigh,80
2706044,"Chicken thigh, sauteed, skin not eaten",24.07,192,0,410,1 large thigh,90
2706044,"Chicken thigh, sauteed, skin not eaten",24.07,192,0,410,"1 cup, cooked, diced",135
2706044,"Chicken thigh, sauteed, skin not eaten",24.07,192,0,410,"1 oz, cooked",28.35
2706044,"Chicken thigh, sauteed, skin not eaten",24.07,192,0,410,1 medium thigh,70
2706044,"Chicken thigh, sauteed, skin not eaten",24.07,192,0,410,"1 thigh, NS as to size",70
2706044,"Chicken thigh, sauteed, skin not eaten",24.07,192,0,410,1 small thigh,65
2706044,"Chicken thigh, sauteed, skin not eaten",24.07,192,0,410,Quantity not specified,70
2706045,"Chicken thigh, fried, coated, skin / coating eaten, from raw",19.01,273,0.1,346,"1 oz, cooked",28.35
2706045,"Chicken thigh, fried, coated, skin / coating eaten, from raw",19.01,273,0.1,346,1 large thigh,140
2706045,"Chicken thigh, fried, coated, skin / coating eaten, from raw",19.01,273,0.1,346,"1 cup, cooked, diced",135
2706045,"Chicken thigh, fried, coated, skin / coating eaten, from raw",19.01,273,0.1,346,Quantity not specified,110
2706045,"Chicken thigh, fried, coated, skin / coating eaten, from raw",19.01,273,0.1,346,1 small thigh,100
2706045,"Chicken thigh, fried, coated, skin / coating eaten, from raw",19.01,273,0.1,346,1 medium thigh,110
2706046,"Chicken thigh, fried, coated, skin / coating not eaten, from raw",24.12,192,0,334,1 large thigh,90
2706046,"Chicken thigh, fried, coated, skin / coating not eaten, from raw",24.12,192,0,334,1 small thigh,65
2706046,"Chicken thigh, fried, coated, skin / coating not eaten, from raw",24.12,192,0,334,Quantity not specified,70
2706046,"Chicken thigh, fried, coated, skin / coating not eaten, from raw",24.12,192,0,334,"1 cup, cooked, diced",135
2706046,"Chicken thigh, fried, coated, skin / coating not eaten, from raw",24.12,192,0,334,1 medium thigh,70
2706046,"Chicken thigh, fried, coated, skin / coating not eaten, from raw",24.12,192,0,334,"1 oz, cooked",28.35
2706047,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",20.14,231,0.1,426,"1 cup, cooked, diced",135
2706047,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",20.14,231,0.1,426,Quantity not specified,100
2706047,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",20.14,231,0.1,426,1 medium thigh,100
2706047,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",20.14,231,0.1,426,"1 oz, cooked",28.35
2706047,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",20.14,231,0.1,426,1 large thigh,125
2706047,"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",20.14,231,0.1,426,1 small thigh,90
2706048,"Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked",18.23,277,0.12,464,Quantity not specified,110
2706048,"Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked",18.23,277,0.12,464,1 large thigh,140
2706048,"Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked",18.23,277,0.12,464,1 medium thigh,110
2706048,"Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked",18.23,277,0.12,464,"1 oz, cooked",28.35
2706048,"Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked",18.23,277,0.12,464,"1 cup, cooked, diced",135
2706048,"Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked",18.23,277,0.12,464,1 small thigh,100
2706049,"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",24.07,192,0,410,1 large thigh,90
